 # iter    flux_conservation    flux_mean[1/s]    flux_std[1/s]    time_step[s]
   1850000    5.0268386806E-01    2.9914490902E+07    1.5037531998E+07    1.4204309208E-13
   1860000    5.0204611445E-01    2.9913736130E+07    1.5018074993E+07    1.4204309208E-13
   1870000    5.0141063191E-01    2.9912985860E+07    1.4998689142E+07    1.4204309208E-13
   1880000    5.0077739209E-01    2.9912240033E+07    1.4979373555E+07    1.4204309208E-13
   1890000    5.0014636713E-01    2.9911498586E+07    1.4960127353E+07    1.4204309208E-13
   1900000    4.9951752963E-01    2.9910761457E+07    1.4940949672E+07    1.4204309208E-13
   1910000    4.9889085260E-01    2.9910028584E+07    1.4921839662E+07    1.4204309208E-13
   1920000    4.9826630953E-01    2.9909299904E+07    1.4902796484E+07    1.4204309208E-13
   1930000    4.9764387430E-01    2.9908575355E+07    1.4883819314E+07    1.5624740467E-13
   1940000    4.9696160561E-01    2.9907783053E+07    1.4863019886E+07    1.5624740467E-13
   1950000    4.9628181649E-01    2.9906995583E+07    1.4842298094E+07    1.5624740467E-13
   1960000    4.9560448010E-01    2.9906212866E+07    1.4821653079E+07    1.5624740467E-13
   1970000    4.9492956397E-01    2.9905434819E+07    1.4801083816E+07    1.5624740467E-13
   1980000    4.9425703619E-01    2.9904661358E+07    1.4780589291E+07    1.5624740467E-13
   1990000    4.9358686462E-01    2.9903892391E+07    1.4760168485E+07    1.5624740467E-13
   2000000    4.9291901598E-01    2.9903127810E+07    1.4739820335E+07    1.5624740467E-13
   2010000    4.9225345735E-01    2.9902367505E+07    1.4719543787E+07    1.5624740467E-13
   2020000    4.9159015641E-01    2.9901611368E+07    1.4699337809E+07    1.5624740467E-13
   2030000    4.9092908140E-01    2.9900859292E+07    1.4679201385E+07    1.5624740467E-13
   2040000    4.9027020115E-01    2.9900111167E+07    1.4659133516E+07    1.5624740467E-13
   2050000    4.8961348503E-01    2.9899366890E+07    1.4639133223E+07    1.5624740467E-13
   2060000    4.8895890297E-01    2.9898626353E+07    1.4619199542E+07    1.5624740467E-13
   2070000    4.8830642541E-01    2.9897889452E+07    1.4599331526E+07    1.5624740467E-13
   2080000    4.8765602333E-01    2.9897156084E+07    1.4579528245E+07    1.5624740467E-13
   2090000    4.8700766822E-01    2.9896426146E+07    1.4559788786E+07    1.5624740467E-13
   2100000    4.8636133206E-01    2.9895699537E+07    1.4540112250E+07    1.5624740467E-13
   2110000    4.8571698733E-01    2.9894976154E+07    1.4520497754E+07    1.5624740467E-13
   2120000    4.8507460699E-01    2.9894255899E+07    1.4500944431E+07    1.5624740467E-13
   2130000    4.8443416446E-01    2.9893538672E+07    1.4481451430E+07    1.5624740467E-13
   2140000    4.8379563364E-01    2.9892824376E+07    1.4462017910E+07    1.5624740467E-13
   2150000    4.8315898886E-01    2.9892112914E+07    1.4442643050E+07    1.5624740467E-13
   2160000    4.8252420491E-01    2.9891404190E+07    1.4423326040E+07    1.5624740467E-13
   2170000    4.8189125701E-01    2.9890698108E+07    1.4404066084E+07    1.5624740467E-13
   2180000    4.8126012080E-01    2.9889994575E+07    1.4384862400E+07    1.5624740467E-13
   2190000    4.8063077234E-01    2.9889293499E+07    1.4365714219E+07    1.5624740467E-13
   2200000    4.8000318811E-01    2.9888594788E+07    1.4346620786E+07    1.5624740467E-13
   2210000    4.7937734497E-01    2.9887898350E+07    1.4327581358E+07    1.5624740467E-13
   2220000    4.7875322019E-01    2.9887204097E+07    1.4308595204E+07    1.7187214886E-13
